GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,POP1990,POP2000,POP2010,POP2020,Wht1990,Wht2000,Wht2010,Wht2020,Blk1990,Blk2000,Blk2010,Blk2020,AmIn1990,AmIn2000,AmIn2010,AmIn2020,Asn1990,Asn2000,Asn2010,Asn2020,PacIs1990,PacIs2000,PacIs2010,PacIs2020,Othr1990,Othr2000,Othr2010,Othr2020,TwoR1990,TwoR2000,TwoR2010,TwoR2020,Lat1990,Lat2000,Lat2010,Lat2020
G4700370010103,2010,Tennessee,47,Davidson County,37,10103,2264.14,2353.18,2377,2459,2236.14,2273.18,2244,2105,16,34,67,121,7,8,7,6,5,7,12,12,0,0,0,4,0,11,16,79,0,20,31,132,7,21,40,154
G4700370010104,2010,Tennessee,47,Davidson County,37,10104,2841,3194,3070,3213,2793,3000,2820,2657,36,154,172,230,2,7,9,11,1,8,8,15,0,1,1,7,9,6,22,64,0,18,38,229,19,20,54,111
G4700370010105,2010,Tennessee,47,Davidson County,37,10105,4696,4323,4268,4478,1037,937,831,889,3640,3287,3310,3220,6,11,5,0,6,7,7,58,0,2,1,0,7,25,44,146,0,54,70,165,18,39,87,193
G4700370010106,2010,Tennessee,47,Davidson County,37,10106,1676.79,1756.25,2668,3042,834.86,675.03,644,806,826.93,1053.21,1946,1967,4,6,4,12,11,2,9,25,0,0,0,0,0,1,30,94,0,19,35,138,2,6,42,176
G4700370010201,2010,Tennessee,47,Davidson County,37,10201,3360.72,3475.63,4041,4200,2895.72,2538.65,2065,1685,427,867.99,1715,1727,2,7,15,44,33,27.99,44,59,0,0,4,1,3,3,136,417,0,31,62,267,6,21,260,632
G4700370010202,2010,Tennessee,47,Davidson County,37,10202,3274.95,3674.69,3530,4158.25,3174.95,3503.69,3336,3320.22,77,95,117,396,3,13,6,18,14,19,22,47,1.99,0,0,4,4,19,14,135,0,25,35,238.02,7,35,66,240.01
G4700370010301,2010,Tennessee,47,Davidson County,37,10301,3054.83,3187.22,3676,3895,2820.84,2811.22,2595,1976,199,294.99,837,1371,8,7,12,22,19,12.01,56,56,0,0,1,5,8,18,110,159,0,44,65,306,14,35,174,379
G4700370010302,2010,Tennessee,47,Davidson County,37,10302,1871.93,2137.95,2104,1817,1803.94,1552.95,1283,1106,55,526,670,383,0,6,7,19,10.99,9,13,10,1,0,2,6,1,17,39,98,0,27,90,195,16,28,81,274
G4700370010303,2010,Tennessee,47,Davidson County,37,10303,3250.42,3830.05,4539,5723,3069.41,3299.05,3186,2940,95,329,989,1761,12,11,6,37,64.01,87,121,142,4,2,13,25,6,41,108,326,0,61,116,492,18,96,255,674
G4700370010401,2010,Tennessee,47,Davidson County,37,10401,3006.66,3396.65,4494,5316,2808.53,2593.42,2662,2305,169.12,483.21,1208,1680,2,25,17,53,21.01,25,62,77,0,1,8,7,6,203,384,742,0,66.02,153,452,31,319,837,1181
G4700370010402,2010,Tennessee,47,Davidson County,37,10402,5068.97,5279.76,5588,6023,4487.47,3842.65,2965,2030,521.43,1007.82,1773,2324,8.01,19.01,25,38,26.04,19.01,20,14,0,5,17,0,26.01,240.21,582,881,0,146.07,206,736,52.04,422.52,1065,1470
G4700370010501,2010,Tennessee,47,Davidson County,37,10501,4916.62,5236,5029,5593,4757.65,4927,4436,4325,121.62,193,356,627,17,20,30,35,1,10,16,45,4.35,1,0,0,15,35,58,189,0,50,133,372,25.35,83,192,408
G4700370010502,2010,Tennessee,47,Davidson County,37,10502,3147.03,4292.62,4706,5120,2886.56,3735.41,3820,3683,240.72,419.07,582,699,6.06,14.02,24,25,2.02,40,72,130,0.65,0,0,5,11.02,46,73,159,0,38.11,135,419,28.69,95.11,225,330
G4700370010601,2010,Tennessee,47,Davidson County,37,10601,3753.77,4347.15,5007,5366,3428.06,3432.91,2854,2213,252.77,649.54,1507,1905,12.99,9.99,14,81,45.97,47.99,63,63,0,5,7,0,13.99,130.79,476,665,0,70.93,86,439,47.96,315.48,866,1187
G4700370010602,2010,Tennessee,47,Davidson County,37,10602,2538.42,3245.24,3442,3544,2117.59,2262.53,1629,1139,388.83,829.71,1411,1430,1,20,19,31,22,31,28,44,0,1,3,2,9,50,257,517,0,51,95,381,40.99,118,577,952
G4700370010701,2010,Tennessee,47,Davidson County,37,10701,3963.41,4220.23,4431,4265.08,3610.41,3307.23,2720,1967.23,300,597,1200,1203.5,13,25,11,15,25,13,27,20,0,8,9,3,15,172,328,610.4,0,98,136,445.95,31,276,715,1049.28
G4700370010702,2010,Tennessee,47,Davidson County,37,10702,3165.59,3326.77,3034,3390.79,2584.59,2121.77,1728,1428.85,547,756,916,898.98,5,15,17,26,13,67,44,21,0,1,0,3,16,273,229,500,0,93,100,512.96,27,326,547,1063.94
