UNIQID,address,ethnicity,race,outcome,sex,Type,Dt,latitude,longitude
3704817,Charlotte Pike & Davidson Dr,Not Hispanic,White,Driver Cited,Female,Moving Traffic Violation,7/22/22,36.1295,-86.9033
3699988,Charlotte Pike & Davidson Dr,Hispanic,White,Driver Warned,Male,Moving Traffic Violation,5/10/22,36.1295,-86.9033
3709333,Charlotte Pike & Davidson Dr,Not Hispanic,White,Driver Warned,Male,Vehicle Equipment Violation,9/22/22,36.1295,-86.9033
3709475,Charlotte Pike & Davidson Dr,Not Hispanic,White,Driver Warned,Male,Vehicle Equipment Violation,9/22/22,36.1295,-86.9033
3701318,Charlotte Pike & Davidson Dr,Not Hispanic,White,Driver Cited,Male,Safety & Equip,5/29/22,36.1295,-86.9033
3708716,6900 Block Charlotte Pike,Not Hispanic,Asian,Driver Warned,Female,Moving Traffic Violation,9/13/22,36.1302,-86.9005
3712270,500 Block 2nd Ave S,Not Hispanic,White,Driver Cited,Male,Moving Traffic Violation,11/9/22,36.1567,-86.7719
3712272,500 Block 2nd Ave S,Not Hispanic,White,Driver Cited,Male,Moving Traffic Violation,11/9/22,36.1567,-86.7719
3712273,500 Block 2nd Ave S,Hispanic,White,Driver Cited,Female,Moving Traffic Violation,11/9/22,36.1567,-86.7719
3712277,500 Block 2nd Ave S,Not Hispanic,Black,Driver Cited,Female,Moving Traffic Violation,11/9/22,36.1567,-86.7719
3698655,500 Block 2nd Ave S,Not Hispanic,Unknown,Driver Warned,Male,Moving Traffic Violation,4/21/22,36.1567,-86.7719
3703581,500 Block 2nd Ave S,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,7/6/22,36.1567,-86.7719
3703157,500 Block 2nd Ave S,Not Hispanic,White,Driver Cited,Male,Moving Traffic Violation,6/29/22,36.1567,-86.7719
3696696,500 Block 2nd Ave S,Not Hispanic,Black,Driver Warned,Male,Moving Traffic Violation,3/29/22,36.1567,-86.7719
3703394,500 Block 2nd Ave S,Not Hispanic,White,Driver Cited,Female,Moving Traffic Violation,7/1/22,36.1567,-86.7719
3705554,500 Block 2nd Ave S,Not Hispanic,White,Driver Cited,Female,Moving Traffic Violation,8/3/22,36.1567,-86.7719
3702690,10th Ave N & Broadway,Not Hispanic,White,Driver Warned,Female,Moving Traffic Violation,6/14/22,36.158,-86.7842
3702688,10th Ave N & Broadway,Not Hispanic,White,Driver Warned,Female,Moving Traffic Violation,6/14/22,36.158,-86.7842
3699231,10th Ave N & Broadway,Not Hispanic,White,Driver Cited,Male,Moving Traffic Violation,4/29/22,36.158,-86.7842
3702563,10th Ave N & Broadway,Not Hispanic,Unknown,Driver Cited,Male,Moving Traffic Violation,6/14/22,36.158,-86.7842
3696616,10th Ave N & Broadway,Not Hispanic,Black,Driver Cited,Male,Moving Traffic Violation,3/25/22,36.158,-86.7842
3705540,10th Ave N & Broadway,Not Hispanic,White,Driver Warned,Male,Moving Traffic Violation,8/2/22,36.158,-86.7842
3704661,10th Ave N & Broadway,Not Hispanic,Black,Driver Warned,Female,Safety & Equip,7/20/22,36.158,-86.7842
3704093,10th Ave N & Broadway,Not Hispanic,White,Driver Cited,Male,Moving Traffic Violation,7/2/22,36.158,-86.7842
3709146,10th Ave N & Broadway,Not Hispanic,White,Driver Cited,Male,Moving Traffic Violation,8/31/22,36.158,-86.7842
3706145,10th Ave N & Broadway,Not Hispanic,Black,Driver Cited,Male,Moving Traffic Violation,8/10/22,36.158,-86.7842
3707107,10th Ave N & Broadway,Not Hispanic,Black,Driver Warned,Male,Moving Traffic Violation,8/9/22,36.158,-86.7842
3706305,10th Ave N & Broadway,Not Hispanic,White,Driver Cited,Female,Regulatory,8/8/22,36.158,-86.7842
3697116,10th Ave N & Broadway,Not Hispanic,White,Driver Warned,Male,Moving Traffic Violation,4/2/22,36.158,-86.7842
3704130,10th Ave N & Broadway,Not Hispanic,White,Driver Warned,Male,Moving Traffic Violation,7/12/22,36.158,-86.7842
3709979,10th Ave N & Broadway,Not Hispanic,White,Driver Cited,Male,Moving Traffic Violation,9/26/22,36.158,-86.7842
3709981,10th Ave N & Broadway,Not Hispanic,Black,Driver Cited,Male,Vehicle Equipment Violation,9/26/22,36.158,-86.7842
3704616,10th Ave N & Broadway,Not Hispanic,White,Driver Cited,Male,Moving Traffic Violation,7/20/22,36.158,-86.7842
3704617,10th Ave N & Broadway,Not Hispanic,Black,Driver Cited,Male,Moving Traffic Violation,7/20/22,36.158,-86.7842
3709938,10th Ave N & Broadway,Not Hispanic,Black,Driver Cited,Male,Moving Traffic Violation,9/22/22,36.158,-86.7842
3699999,10th Ave N & Broadway,Not Hispanic,White,Driver Arrested,Male,Safety & Equip,5/10/22,36.158,-86.7842
3703155,10th Ave N & Broadway,Not Hispanic,White,Driver Cited,Male,Moving Traffic Violation,6/29/22,36.158,-86.7842
3696638,10th Ave N & Broadway,Not Hispanic,White,Driver Cited,Male,Moving Traffic Violation,3/18/22,36.158,-86.7842
3696639,10th Ave N & Broadway,Not Hispanic,White,Driver Cited,Male,Moving Traffic Violation,3/18/22,36.158,-86.7842
3706655,10th Ave N & Broadway,Not Hispanic,White,Driver Cited,Female,Moving Traffic Violation,8/9/22,36.158,-86.7842
3706656,10th Ave N & Broadway,Not Hispanic,White,Driver Cited,Female,Moving Traffic Violation,8/9/22,36.158,-86.7842
3712402,2nd Ave S & Broadway,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,11/10/22,36.1619,-86.7752
3689678,1100 Block Broadway,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,1/17/22,36.1571,-86.7862
3693053,9th Ave N & Broadway,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,2/18/22,36.1586,-86.7828
3694001,6th Ave S & Broadway,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,3/5/22,36.1599,-86.7799
3703681,6th Ave S & Broadway,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,7/6/22,36.1599,-86.7799
3704766,10th Ave N & Broadway,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,7/15/22,36.158,-86.7842
3698499,4th Ave S & Lea Ave,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,4/19/22,36.1547,-86.7731
3715109,500 Block 2nd Av S,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,12/22/22,36.1567,-86.7719
3699424,W Eastland Ave & Laurent St,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,5/2/22,36.1842,-86.753
3701119,700 Block Main St,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,5/26/22,36.1746,-86.7607
3714143,Mm 48 0 I24 W,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,12/7/22,36.1744,-86.7707
3689010,Mm 49 2 I24 W,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,1/5/22,36.1604,-86.7603
3705191,S 5th St & James Robertson Pkwy,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,7/28/22,36.1728,-86.7653
3700422,Mm 87 4 I65 N,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,5/17/22,36.2078,-86.7761
3706731,Mm 87 4 I65 N,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,8/17/22,36.2078,-86.7761
3707180,Mm 87 0 I65 N,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,8/24/22,36.2008,-86.7765
3709060,Mm 89 8 I65 N,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,9/19/22,36.2371,-86.7595
3690575,Ellington Pkwy S & Hart Ln,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,1/29/22,36.2183,-86.7475
3705981,1500 Block Dickerson Pike,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,8/8/22,36.2003,-86.7698
3708180,2800 Block Dickerson Pike,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,8/29/22,36.2177,-86.763
3711162,Mm 14 4 Briley E,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,10/24/22,36.2343,-86.7219
3708510,Andrew Jackson Pkwy & Des Moines Dr,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,9/8/22,36.2096,-86.602
3691208,Mm 222 2 I40 E,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,2/7/22,36.1691,-86.5765
3696537,Mm 219 8 I40 E,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,3/28/22,36.1629,-86.6175
3702240,Lebanon Pike & Old Hickory Blvd,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,6/8/22,36.1983,-86.6201
3693112,Old Hickory Blvd & Rachels Ln,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,2/22/22,36.2125,-86.6227
3693429,Old Hickory Blvd & Rachels Ln,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,2/28/22,36.2125,-86.6227
3695956,400 Block Pitts Ave,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,3/22/22,36.2383,-86.6307
3715113,Old Hickory Blvd & Rachels Ln,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,12/22/22,36.2125,-86.6227
3689931,Mm 213 6 I40 W,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,1/21/22,36.1407,-86.7219
3696795,Lebanon Pike & Lynmeade Dr,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,3/24/22,36.1612,-86.7018
3693523,Mm 51 8 I24 W,Hispanic,White,Driver Cited,Male,Moving Traffic Violation,3/1/22,36.1383,-86.7268
